Method,Task,bleu,meteor,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1
SC-0.2,summarisation,0.2508411564634913,0.47544673653767666,0.5631908289808366,0.30529004602463417,0.40151998019928825,0.9099485464139683,0.9088581421113595,0.9093113743735524
SC-0.2,qa,0.4255847094481993,0.6007959397565238,0.6377597950155253,0.5024502900896524,0.6048712734630224,0.9329362296220907,0.9289772689981585,0.9305564157621655
SC-0.2,avg,0.3382129329558453,0.5381213381471002,0.6004753119981809,0.40387016805714326,0.5031956268311553,0.9214423880180295,0.918917705554759,0.9199338950678589
SC-0.35,summarisation,0.21225222702967772,0.4415400759896096,0.5334199089267974,0.2646699770110138,0.36328788967294845,0.9047982775365434,0.9020612866384228,0.9033460029145567
SC-0.35,qa,0.3368738074198958,0.5309355105493199,0.577555078274518,0.4201811926633563,0.5389329340370428,0.9246215344948799,0.9179823723387428,0.9208968991647877
SC-0.35,avg,0.27456301722478677,0.4862377932694647,0.5554874936006577,0.34242558483718505,0.4511104118549956,0.9147099060157117,0.9100218294885828,0.9121214510396722
SC-0.5,summarisation,0.16965442886877438,0.39671210159178927,0.4995629471533606,0.225520639946648,0.3305141845258507,0.8997961689408233,0.8930806517630089,0.8963411872154329
SC-0.5,qa,0.23681020781294793,0.43407876775698073,0.4871560994215159,0.3213466369809752,0.4471479856210442,0.9117658736746707,0.9028796137998341,0.906915413543727
SC-0.5,avg,0.20323231834086114,0.415395434674385,0.49335952328743826,0.27343363846381163,0.38883108507344744,0.905781021307747,0.8979801327814214,0.90162830037958
SC-0.65,summarisation,0.11421599801799805,0.33505724025083994,0.4472939584599492,0.168203739007661,0.2812508111916694,0.8926306309583711,0.8800733504179048,0.8862078875463184
SC-0.65,qa,0.15661550636655927,0.33626044998811633,0.39396941884090286,0.22680568986684393,0.35334398898570557,0.8989884989113089,0.887502486031613,0.8928105217287561
SC-0.65,avg,0.13541575219227867,0.33565884511947813,0.420631688650426,0.19750471443725248,0.31729740008868745,0.8958095649348401,0.8837879182247589,0.8895092046375372
SC-0.8,summarisation,0.0632567570726076,0.2592031025715148,0.38004207981990734,0.11350253176301894,0.23087536019953295,0.8839453534716513,0.8627880928036643,0.8731587428872178
SC-0.8,qa,0.11699696912515035,0.27245846508123384,0.3261155672126894,0.17221520804542476,0.2892881803718509,0.8899088793515716,0.8762444493241509,0.882656170413423
SC-0.8,avg,0.09012686309887898,0.2658307838263743,0.3530788235162984,0.14285886990422186,0.2600817702856919,0.8869271164116115,0.8695162710639076,0.8779074566503204
